metric,value
Year=2020; Rating=[220000 - 230000],24
Year=2013; Rating=[380000 - 390000],7
Year=2016; Rating=[600000 - 610000],3
Year=2014; Rating=[1180000 - 1190000],1
Year=2013; Rating=[580000 - 590000],2
Year=2014; Rating=[440000 - 450000],11
Year=2012; Rating=[800000 - 810000],2
Year=2018; Rating=[3990000 - 4000000],1
Year=2012; Rating=[4080000 - 4090000],1
Year=2014; Rating=[610000 - 620000],6
Year=2019; Rating=[280000 - 290000],15
Year=2014; Rating=[640000 - 650000],4
Year=2010; Rating=[280000 - 290000],5
Year=2012; Rating=[1250000 - 1260000],3
Year=2012; Rating=[1000000 - 1010000],2
